"Cluster","Name","Class","SubClass","Element","code_raw","coel_code","iri"
22,"Large",2,1,3,"22.2.1.3","22.2.1.3","http://w3id.org/coel/model/coel/2.0#22.2.1.3"
22,"Midsize",2,1,4,"22.2.1.4","22.2.1.4","http://w3id.org/coel/model/coel/2.0#22.2.1.4"
22,"Small",2,1,5,"22.2.1.5","22.2.1.5","http://w3id.org/coel/model/coel/2.0#22.2.1.5"
22,"Travel by motorbike",2,2,0,"22.2.2.0","22.2.2","http://w3id.org/coel/model/coel/2.0#22.2.2"
22,"Cruiser",2,2,1,"22.2.2.1","22.2.2.1","http://w3id.org/coel/model/coel/2.0#22.2.2.1"
22,"Sports motor bike",2,2,2,"22.2.2.2","22.2.2.2","http://w3id.org/coel/model/coel/2.0#22.2.2.2"
22,"Touring motorbike",2,2,3,"22.2.2.3","22.2.2.3","http://w3id.org/coel/model/coel/2.0#22.2.2.3"
22,"Standard motor bike",2,2,4,"22.2.2.4","22.2.2.4","http://w3id.org/coel/model/coel/2.0#22.2.2.4"
22,"Dual sport motorbike",2,2,5,"22.2.2.5","22.2.2.5","http://w3id.org/coel/model/coel/2.0#22.2.2.5"
22,"Travel by moped",2,3,0,"22.2.3.0","22.2.3","http://w3id.org/coel/model/coel/2.0#22.2.3"
22,"Monkey bike",2,3,1,"22.2.3.1","22.2.3.1","http://w3id.org/coel/model/coel/2.0#22.2.3.1"
22,"Minibike",2,3,2,"22.2.3.2","22.2.3.2","http://w3id.org/coel/model/coel/2.0#22.2.3.2"
22,"Welbike",2,3,3,"22.2.3.3","22.2.3.3","http://w3id.org/coel/model/coel/2.0#22.2.3.3"
22,"Travel by bus",2,4,0,"22.2.4.0","22.2.4","http://w3id.org/coel/model/coel/2.0#22.2.4"
22,"Travelling by double decker",2,4,1,"22.2.4.1","22.2.4.1","http://w3id.org/coel/model/coel/2.0#22.2.4.1"
22,"Travelling by school bus",2,4,2,"22.2.4.2","22.2.4.2","http://w3id.org/coel/model/coel/2.0#22.2.4.2"
22,"Travelling by single decker bus",2,4,3,"22.2.4.3","22.2.4.3","http://w3id.org/coel/model/coel/2.0#22.2.4.3"
22,"Travelling by airport bus",2,4,4,"22.2.4.4","22.2.4.4","http://w3id.org/coel/model/coel/2.0#22.2.4.4"
22,"Travelling by guided bus",2,4,5,"22.2.4.5","22.2.4.5","http://w3id.org/coel/model/coel/2.0#22.2.4.5"
22,"Travelling by gyro bus",2,4,6,"22.2.4.6","22.2.4.6","http://w3id.org/coel/model/coel/2.0#22.2.4.6"
22,"Travelling by armoured bus",2,4,7,"22.2.4.7","22.2.4.7","http://w3id.org/coel/model/coel/2.0#22.2.4.7"
22,"Travelling by articulated bus",2,4,8,"22.2.4.8","22.2.4.8","http://w3id.org/coel/model/coel/2.0#22.2.4.8"
22,"Travelling by minibus",2,4,9,"22.2.4.9","22.2.4.9","http://w3id.org/coel/model/coel/2.0#22.2.4.9"
22,"Travel by train",2,5,0,"22.2.5.0","22.2.5","http://w3id.org/coel/model/coel/2.0#22.2.5"
22,"Commuter train",2,5,1,"22.2.5.1","22.2.5.1","http://w3id.org/coel/model/coel/2.0#22.2.5.1"
22,"Underground train",2,5,2,"22.2.5.2","22.2.5.2","http://w3id.org/coel/model/coel/2.0#22.2.5.2"
22,"Intercity train",2,5,3,"22.2.5.3","22.2.5.3","http://w3id.org/coel/model/coel/2.0#22.2.5.3"
22,"Eurostar",2,5,4,"22.2.5.4","22.2.5.4","http://w3id.org/coel/model/coel/2.0#22.2.5.4"
22,"Monorail",2,5,5,"22.2.5.5","22.2.5.5","http://w3id.org/coel/model/coel/2.0#22.2.5.5"
22,"High speed rail",2,5,6,"22.2.5.6","22.2.5.6","http://w3id.org/coel/model/coel/2.0#22.2.5.6"
22,"Long distance trains",2,5,7,"22.2.5.7","22.2.5.7","http://w3id.org/coel/model/coel/2.0#22.2.5.7"
22,"Light railway",2,5,8,"22.2.5.8","22.2.5.8","http://w3id.org/coel/model/coel/2.0#22.2.5.8"
22,"Trams",2,5,9,"22.2.5.9","22.2.5.9","http://w3id.org/coel/model/coel/2.0#22.2.5.9"
22,"Travel by tram",2,6,0,"22.2.6.0","22.2.6","http://w3id.org/coel/model/coel/2.0#22.2.6"
22,"Travel by tram",2,6,1,"22.2.6.1","22.2.6.1","http://w3id.org/coel/model/coel/2.0#22.2.6.1"
22,"Water",3,0,0,"22.3.0.0","22.3","http://w3id.org/coel/model/coel/2.0#22.3"
22,"Travel by ferry",3,1,0,"22.3.1.0","22.3.1","http://w3id.org/coel/model/coel/2.0#22.3.1"
22,"Water bus",3,1,1,"22.3.1.1","22.3.1.1","http://w3id.org/coel/model/coel/2.0#22.3.1.1"
22,"Roll on, roll off",3,1,2,"22.3.1.2","22.3.1.2","http://w3id.org/coel/model/coel/2.0#22.3.1.2"
22,"Cruise ferry",3,1,3,"22.3.1.3","22.3.1.3","http://w3id.org/coel/model/coel/2.0#22.3.1.3"
22,"Fast ropax ferry",3,1,4,"22.3.1.4","22.3.1.4","http://w3id.org/coel/model/coel/2.0#22.3.1.4"
22,"Turn table ferry",3,1,5,"22.3.1.5","22.3.1.5","http://w3id.org/coel/model/coel/2.0#22.3.1.5"
22,"Pontoon ferry",3,1,6,"22.3.1.6","22.3.1.6","http://w3id.org/coel/model/coel/2.0#22.3.1.6"
22,"Train ferry",3,1,7,"22.3.1.7","22.3.1.7","http://w3id.org/coel/model/coel/2.0#22.3.1.7"
22,"Cable ferry",3,1,8,"22.3.1.8","22.3.1.8","http://w3id.org/coel/model/coel/2.0#22.3.1.8"
22,"Air ferry",3,1,9,"22.3.1.9","22.3.1.9","http://w3id.org/coel/model/coel/2.0#22.3.1.9"
22,"Travel by cruiser",3,2,0,"22.3.2.0","22.3.2","http://w3id.org/coel/model/coel/2.0#22.3.2"
22,"Battle cruiser",3,2,1,"22.3.2.1","22.3.2.1","http://w3id.org/coel/model/coel/2.0#22.3.2.1"
22,"Auxiliary cruiser",3,2,2,"22.3.2.2","22.3.2.2","http://w3id.org/coel/model/coel/2.0#22.3.2.2"
22,"Light cruisers",3,2,3,"22.3.2.3","22.3.2.3","http://w3id.org/coel/model/coel/2.0#22.3.2.3"
22,"Flotilla leaders",3,2,4,"22.3.2.4","22.3.2.4","http://w3id.org/coel/model/coel/2.0#22.3.2.4"
22,"Armoured cruisers",3,2,5,"22.3.2.5","22.3.2.5","http://w3id.org/coel/model/coel/2.0#22.3.2.5"
22,"Steel cruisers",3,2,6,"22.3.2.6","22.3.2.6","http://w3id.org/coel/model/coel/2.0#22.3.2.6"
22,"Travel by rowing boat",3,3,0,"22.3.3.0","22.3.3","http://w3id.org/coel/model/coel/2.0#22.3.3"
22,"Venetian rowing",3,3,1,"22.3.3.1","22.3.3.1","http://w3id.org/coel/model/coel/2.0#22.3.3.1"
22,"Whitehall rowing boats",3,3,2,"22.3.3.2","22.3.3.2","http://w3id.org/coel/model/coel/2.0#22.3.3.2"
22,"Travel by boat",3,4,0,"22.3.4.0","22.3.4","http://w3id.org/coel/model/coel/2.0#22.3.4"
22,"Travel by narrow boat",3,4,1,"22.3.4.1","22.3.4.1","http://w3id.org/coel/model/coel/2.0#22.3.4.1"
22,"Travel by hydro boat",3,4,2,"22.3.4.2","22.3.4.2","http://w3id.org/coel/model/coel/2.0#22.3.4.2"
22,"Travel by canoe",3,4,3,"22.3.4.3","22.3.4.3","http://w3id.org/coel/model/coel/2.0#22.3.4.3"
22,"Travel by liner",3,4,4,"22.3.4.4","22.3.4.4","http://w3id.org/coel/model/coel/2.0#22.3.4.4"
22,"Travel by hovercraft",3,4,5,"22.3.4.5","22.3.4.5","http://w3id.org/coel/model/coel/2.0#22.3.4.5"
22,"Air",4,0,0,"22.4.0.0","22.4","http://w3id.org/coel/model/coel/2.0#22.4"
22,"Travel by air plane",4,1,0,"22.4.1.0","22.4.1","http://w3id.org/coel/model/coel/2.0#22.4.1"
22,"Jumbo jet",4,1,1,"22.4.1.1","22.4.1.1","http://w3id.org/coel/model/coel/2.0#22.4.1.1"
22,"Propeller driven",4,1,2,"22.4.1.2","22.4.1.2","http://w3id.org/coel/model/coel/2.0#22.4.1.2"
22,"Helicopter",4,1,3,"22.4.1.3","22.4.1.3","http://w3id.org/coel/model/coel/2.0#22.4.1.3"
22,"Executive jets",4,1,4,"22.4.1.4","22.4.1.4","http://w3id.org/coel/model/coel/2.0#22.4.1.4"
22,"Turboprops",4,1,5,"22.4.1.5","22.4.1.5","http://w3id.org/coel/model/coel/2.0#22.4.1.5"
22,"Twin piston aeroplanes",4,1,6,"22.4.1.6","22.4.1.6","http://w3id.org/coel/model/coel/2.0#22.4.1.6"
22,"Microlight",4,1,7,"22.4.1.7","22.4.1.7","http://w3id.org/coel/model/coel/2.0#22.4.1.7"
22,"Travel by hot air balloon",4,2,0,"22.4.2.0","22.4.2","http://w3id.org/coel/model/coel/2.0#22.4.2"
22,"Montgolfier",4,2,1,"22.4.2.1","22.4.2.1","http://w3id.org/coel/model/coel/2.0#22.4.2.1"
22,"Hybrid balloon",4,2,2,"22.4.2.2","22.4.2.2","http://w3id.org/coel/model/coel/2.0#22.4.2.2"
22,"Travel by airship",4,3,0,"22.4.3.0","22.4.3","http://w3id.org/coel/model/coel/2.0#22.4.3"
22,"Non ridged",4,3,1,"22.4.3.1","22.4.3.1","http://w3id.org/coel/model/coel/2.0#22.4.3.1"
22,"Semi ridged",4,3,2,"22.4.3.2","22.4.3.2","http://w3id.org/coel/model/coel/2.0#22.4.3.2"
22,"Ridged",4,3,3,"22.4.3.3","22.4.3.3","http://w3id.org/coel/model/coel/2.0#22.4.3.3"
22,"Preparation",5,0,0,"22.5.0.0","22.5","http://w3id.org/coel/model/coel/2.0#22.5"
22,"Packing for travel",5,1,0,"22.5.1.0","22.5.1","http://w3id.org/coel/model/coel/2.0#22.5.1"
22,"Pack clothes",5,1,1,"22.5.1.1","22.5.1.1","http://w3id.org/coel/model/coel/2.0#22.5.1.1"
22,"Pack overnight bag",5,1,2,"22.5.1.2","22.5.1.2","http://w3id.org/coel/model/coel/2.0#22.5.1.2"
22,"Pack day bag",5,1,3,"22.5.1.3","22.5.1.3","http://w3id.org/coel/model/coel/2.0#22.5.1.3"
22,"Pack electronic devices",5,1,4,"22.5.1.4","22.5.1.4","http://w3id.org/coel/model/coel/2.0#22.5.1.4"
